Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\FPGA Peripheral Board\01_Carrier_Board\Documentation\Pick and Place\FPGA_Peripheral_Board_Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       06.03.21
Time:       08:46
Revision:   Not in VersionControl
Variant:    main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J4_CON2","MM8430-2610","TopLayer","MM8430-2610","8.5000","2.5000","0","SWD Connector Receptacle, Female Socket 50Ohm Surface Mount Solder"
"J4_CON1","MM8430-2610","TopLayer","MM8430-2610","8.5000","59.5000","0","SWD Connector Receptacle, Female Socket 50Ohm Surface Mount Solder"
"J3_CON2","MM8430-2610","TopLayer","MM8430-2610","16.0000","2.5000","0","SWD Connector Receptacle, Female Socket 50Ohm Surface Mount Solder"
"J3_CON1","MM8430-2610","TopLayer","MM8430-2610","16.0000","59.5000","0","SWD Connector Receptacle, Female Socket 50Ohm Surface Mount Solder"
"J2","MM8430-2610","TopLayer","MM8430-2610","17.0000","31.0000","180","SWD Connector Receptacle, Female Socket 50Ohm Surface Mount Solder"
"M2_CON2","9774015243R","TopLayer","9774015243R","58.0000","16.0000","90","RND STANDOFF M2X0.4 STEEL 1.5MM"
"M2_CON1","9774015243R","TopLayer","9774015243R","58.0000","46.0000","90","RND STANDOFF M2X0.4 STEEL 1.5MM"
"U5","S25FL256SAGMFIR03","BottomLayer","SOIC127P1030X265-16N","30.0000","31.5000","180","NOR Flash Serial-SPI 3V 256M-bit 256M x 1bit 8ns 16-Pin SOIC"
"U2","MP34DT05TR-A","TopLayer","FP-HCLGA-DM00231908-MFG","-11.0000","6.5000","360","MEMS AUD MIC SENSOR OMNI 4HCLGA"
"U1","MP34DT05TR-A","TopLayer","FP-HCLGA-DM00231908-MFG","-11.0000","56.5000","180","MEMS AUD MIC SENSOR OMNI 4HCLGA"
"U4","M24M02-DRMN6TP","BottomLayer","M08A_N","30.0000","41.1000","180","IC EEPROM 2MBIT 1MHZ 8SO"
"U3","S71KS512SC0","BottomLayer","FBGA24_A-130","29.7000","20.6000","270","IC 512MB FLASH 64MB DRAM 24FBGA"
"U7_CON2","INA233AIDGSR","BottomLayer","ADI-RM-10_N","27.4818","9.0003","180","Current Monitor Regulator High/Low-Side 10mA 10-VSSOP"
"U7_CON1","INA233AIDGSR","BottomLayer","ADI-RM-10_N","27.5500","53.1000","180","Current Monitor Regulator High/Low-Side 10mA 10-VSSOP"
"U6_CON2","INA233AIDGSR","BottomLayer","ADI-RM-10_N","27.5415","4.1967","180","Current Monitor Regulator High/Low-Side 10mA 10-VSSOP"
"U6_CON1","INA233AIDGSR","BottomLayer","ADI-RM-10_N","27.5562","57.6425","180","Current Monitor Regulator High/Low-Side 10mA 10-VSSOP"
"C14_CON2","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.8032","9.8793","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C14_CON1","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.9075","53.9746","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C13_CON2","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.8470","5.0461","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C13_CON1","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.9545","58.6063","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C12_CON2","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.8033","8.1240","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C12_CON1","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.9217","52.2686","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C11_CON2","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.8630","3.2890","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C11_CON1","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.9599","56.9010","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C10","100nF","BottomLayer","CAPC1050X55X23LL05T13","23.6650","33.7350","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
